filename,activity_name,location,reference_product,reference_product_unit,traci_acidification,traci_climate_change,traci_ecotoxicity_freshwater,traci_eutrophication,traci_human_toxicity_carcinogenic,traci_human_toxicity_non-carcinogenic,traci_ozone_depletion,traci_particulate_matter_formation,traci_photochemical_oxidant_formation,traci_units,cost_per_unit,cost_source
82280b00-a65d-50e7-a3a4-dc76277eae7e_d69294d7-8d64-4915-a896-9996a014c410.spold,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted",PT,"electricity, low voltage",kWh,0.000247148868696965,0.05561569050129907,6.930913913699903,0.000541038312321172,3.889497550969343e-8,6.983254183931914e-8,8.065047101030774e-9,6.438032516952128e-5,0.003342636430443952,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
822b038e-bbd6-5879-a92d-538f4cd027f2_d69294d7-8d64-4915-a896-9996a014c410.spold,electricity voltage transformation from medium to low voltage,SY,"electricity, low voltage",kWh,0.0053381954515745785,0.5127087738490639,4.485383684352408,0.00022926777125915876,7.084493485933794e-8,3.574704841403767e-8,1.8963561825466293e-8,0.0003194940796563074,0.0585746847406403,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
822dde9d-c88e-512e-8157-81369dcde55b_dae141a8-7daa-4f03-a649-b85b718ac65b.spold,market for waste glass,BR,waste glass,kg,1.2056896902306839e-4,0.021626700116473045,0.5338472548795841,2.133081933622412e-5,2.046786440890737e-8,1.3030836972646739e-8,4.082246072241377e-10,1.7866332390711995e-5,0.0037798250926788547,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
82308049-d317-5984-b50a-7efc9f1a1e8b_c4887e58-90c3-4e95-b9ab-f0d082b05e3a.spold,sponge iron production,IN,sponge iron,kg,0.006283550376744144,1.9861308285542176,31.28170986326371,0.014187069490146684,2.755020435499857e-7,7.558927062028546e-7,3.369913624011477e-9,0.0022162129955557064,0.09601386693110942,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
8230bbba-c5a6-52de-b530-bf234966fcc4_93489043-5b66-476f-ac88-ad72054f9154.spold,"market for generator, 200kW electrical",GLO,"generator, 200kW electrical",unit,62.60796867479535,3424.1405646151716,1859595.002702299,90.61054273969462,0.020119682978845442,0.02693510018326431,3.2928979799831527e-5,17.234112007092868,583.2461881411334,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
8232ce3d-e927-569c-8a86-0d0f80623cb5_a9007f10-7e39-4d50-8f4a-d6d03ce3d673.spold,"evaporation of natural gas, import from TT",US,"natural gas, high pressure",m3,0.0015809510869256988,0.41545985940800695,4.094077189563455,0.0007422378799627535,1.8271830761419406e-7,4.246134787673169e-8,6.147684223603084e-8,0.0003252930191333728,0.07502577398603781,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
8236eb33-18d1-50b2-b1e2-2ce58954a072_e7a17355-8575-4be4-8c51-85e38b19b3f3.spold,market for pitch,PE,pitch,kg,0.0015462576135751836,0.8155348480432344,3.3302765586838943,0.0007369778764075942,8.16698241789446e-8,7.995802642197155e-8,3.8772428960386326e-8,0.00017518057156665494,0.06267570971240469,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
8237b51f-b4b2-50fc-a25b-ebf6bddc9032_6fd6b3c8-1ee7-4a23-8291-e3f0f22f22a7.spold,"machine operation, diesel, < 18.64 kW, steady-state",GLO,"machine operation, diesel, < 18.64 kW, steady-state",hour,0.026404651732899076,4.301931792300837,21.97422858588793,0.002463722852047057,5.30205989537439e-7,4.4175703419009785e-7,7.533540691740117e-8,0.002787624628131253,0.4906177187115759,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
823d9272-e1ce-5bd6-9717-4e1f56256c5e_eb266390-532c-4f14-ba91-a1e1b688cf5c.spold,"market for concrete, medium strength",RoW,"concrete, medium strength",m3,1.7706745327099735,463.2453652838119,2901.16853293285,0.4482588540429061,3.969898127475632e-5,1.0123938214632265e-4,2.12702514881712e-6,0.17542458943981495,39.68810047357985,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
823fe972-5687-5a0e-94e4-4baea35af5df_e8f942ff-7b62-4639-ac4a-f922c74c151c.spold,"eucalyptus seedling production, in heated greenhouse",RoW,"eucalyptus seedling, for planting",unit,7.431237940479601e-5,0.006204905588116071,0.35724187183871586,0.00009272279084662659,6.879065926396341e-9,3.513955908530052e-8,2.183868678068749e-10,4.068449771191794e-5,0.001916064586828916,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
