filename,activity_name,location,reference_product,reference_product_unit,traci_acidification,traci_climate_change,traci_ecotoxicity_freshwater,traci_eutrophication,traci_human_toxicity_carcinogenic,traci_human_toxicity_non-carcinogenic,traci_ozone_depletion,traci_particulate_matter_formation,traci_photochemical_oxidant_formation,traci_units,cost_per_unit,cost_source
greet2_2025_vehi_plastics_hips_resin_us_r104_cf_full_technosphere,high-impact polystyrene (HIPS) resin,US,"polystyrene, high impact",kg,0.0158384,2.50088,0,0.000172765,0,0,0,0.00102372,0.101834,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_vehi_plastics_epdm_resin_us_r104_cc_full_technosphere,EPDM rubber resin,US,EPDM,kg,0.0224143,1.35774,0,0.000139248,0,0,0,0.00136047,0.0838283,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_vehi_plastics_liquid_epoxy_resin_us_r104_cd_full_technosphere,"epoxy resin, liquid",US,epoxy resin,kg,0.0079037,5.1883,0,0.000368282,0,0,0,0.00271115,0.211825,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_vehi_plastics_pur_rigid_foam_us_r104_cp_full_technosphere,polyurethane (PUR) rigid foam,US,"polyurethane foam, rigid",kg,0.0137605,2.61268,0,0.000187263,0,0,0,0.000975716,0.109886,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_vehi_plastics_pur_flexible_foam_us_r104_co_full_technosphere,polyurethane (PUR) flexible foam,US,"polyurethane foam, flexible",kg,0.014824,2.77645,0,0.000188677,0,0,0,0.0010242,0.110338,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_vehi_plastics_methyl_methacrylate_us_r104_cu_full_technosphere,methyl methacrylate (MMA),US,methyl methacrylate,kg,0.0132378,7.95929,0,0.00050291,0,0,0,0.00147203,0.287215,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_vehi_plastics_pan_us_r104_cv_full_technosphere,polyacrylonitrile (PAN),US,polyacrylonitrile,kg,0.00403438,3.58509,0,0.00018225,0,0,0,0.000384419,0.113333,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_vehi_plastics_carbon_fiber_us_r104_cw_full_technosphere,carbon fiber,US,carbon fiber,kg,0.0170755,15.45,0,0.000710887,0,0,0,0.00171405,0.427178,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_vehi_plastics_glass_fiber_us_r104_cs_full_technosphere,glass fiber,US,glass fiber,kg,0.00393942,1.5232,0,0.000175584,0,0,0,0.00114332,0.0996346,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_vehi_plastics_final_carbon_fiber_reinforced_plastic_product_for_general_use_combined_us_r104_ccb_full_technosphere,"carbon fiber-reinforced plastic (CFRP), general use",US,CFRP,kg,0.0133085,10.124,0,0.000579837,0,0,0,0.00289307,0.339546,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_solar_pv_glass_fiber_reinforced_plastic_us_r269_ccj_full_technosphere,glass fiber-reinforced plastic (GFRP),US,GFRP,kg,0.00646296,3.86544,0,0.000289465,0,0,0,0.00192626,0.165812,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_electrolyzers_ptfe_us_r203_cag_full_technosphere,polytetrafluoroethylene (PTFE),US,polytetrafluoroethylene,kg,0.0118833,6.90708,0,0.000445521,0,0,0,0.0014759,0.253829,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
